CNT,i1,i2,i3,i4,i5,i6
AUS,4,4,4,4,3,4
AUS,4,4,3,4,4,4
AUS,4,4,4,3,4,4
AUS,4,4,4,4,4,3
AUS,4,4,4,3,4,4
AUS,4,4,4,3,4,4
AUS,4,4,4,4,3,4
AUS,4,4,3,4,4,4
AUS,4,4,4,4,3,4
AUS,4,4,4,4,4,3
AUS,4,4,4,4,3,4
AUS,4,4,4,3,4,4
AUS,4,4,4,3,4,4
AUS,4,4,4,4,4,3
AUS,4,4,4,4,3,4
AUS,4,4,4,3,4,4
AUS,4,4,4,4,3,4
AUS,4,3,4,4,4,4
AUS,4,4,4,4,3,4
AUS,4,4,3,4,4,4
AUS,4,4,3,4,4,4
AUS,4,4,4,3,4,4
AUS,4,4,4,3,4,4
AUS,4,3,4,4,4,4
AUS,4,4,4,3,4,4
AUS,4,3,4,4,4,4
AUS,4,4,4,3,4,4
AUS,4,3,4,4,4,4
AUS,4,4,3,4,4,4
AUS,4,4,4,3,4,4
AUS,4,4,4,3,4,4
AUS,4,3,4,4,4,4
